branch_code,branch_name,branch_status,
002,עפולה,ACTIVE,
003,אילת,ACTIVE,
004,אשדוד,ACTIVE,
005,נוף הגליל,ACTIVE,
010,"ראשי ת""א",ACTIVE,
014,תל אביב סיטי,ACTIVE,
026,חצרות יפו,ACTIVE,
034,אלון,ACTIVE,
041,פתח תקוה,ACTIVE,
042,נתניה,ACTIVE,
043,רמלה,ACTIVE,
044,הרצליה,ACTIVE,
045,רחובות,ACTIVE,
046,טבריה,ACTIVE,
049,חולון,ACTIVE,
051,בת ים,ACTIVE,
054,כפר סבא,ACTIVE,
055,ראשון לציון,ACTIVE,
056,כפר גנים,ACTIVE,
058,דרך בן גוריון,ACTIVE,
059,לוד,ACTIVE,
064,גאולה,ACTIVE,
065,קרית היובל,ACTIVE,
066,רחביה,ACTIVE,
068,מזרח ירושלים,ACTIVE,
069,בית הכרם,ACTIVE,
075,קרית מוצקין,ACTIVE,
076,מרכז הכרמל,ACTIVE,
077,קרית אתא,ACTIVE,
080,בורסת היהלומים,ACTIVE,
085,ככר יצחק רבין,ACTIVE,
090,חדרה,ACTIVE,
092,רעננה,ACTIVE,
093,נצרת,ACTIVE,
094,באר שבע,ACTIVE,
095,זכרון יעקב,ACTIVE,
096,מרום נווה,ACTIVE,
097,נהריה,ACTIVE,
098,צפת,ACTIVE,
099,עכו,ACTIVE,
100,שדרות רוטשילד,ACTIVE,
102,רמת חן,INACTIVE,
103,קריית אילון חולון,ACTIVE,
106,בית הקרנות,ACTIVE,
107,רמת אלמוגי,ACTIVE,
109,רמת אשכול,ACTIVE,
110,קרית שמונה,ACTIVE,
111,דימונה,ACTIVE,
112,גדרה,ACTIVE,
114,רובע ד',ACTIVE,
117,נס ציונה,ACTIVE,
118,נוה אביבים,ACTIVE,
123,ככר היהלום,ACTIVE,
125,רמת השרון,ACTIVE,
128,אשקלון,ACTIVE,
129,מרכז מזומנים ראשון לציון,ACTIVE,
130,מאפו,ACTIVE,
131,קרית גת,ACTIVE,
136,קיראון,ACTIVE,
137,מגדל העמק,ACTIVE,
139,בני ברק,ACTIVE,
145,גבעתיים,ACTIVE,
146,הרצליה פיתוח,ACTIVE,
147,לב דיזנגוף,ACTIVE,
148,הנביאים,ACTIVE,
151,יד אליהו,ACTIVE,
152,ככר המדינה,ACTIVE,
153,קרית מלאכי,ACTIVE,
156,"מלא""ב-נתניה",ACTIVE,
157,התעשיה חולון,ACTIVE,
159,מרכז ירושלים,ACTIVE,
162,תלפיות ירושלים,ACTIVE,
167,בית שמש,ACTIVE,
174,כרמיאל,ACTIVE,
175,יבנה,ACTIVE,
176,המפרץ,ACTIVE,
187,הוד השרון,ACTIVE,
188,הקניונים,INACTIVE,
194,שלוחת מרכז כלל,ACTIVE,
198,אפקה,ACTIVE,
219,דיסקונט 360,ACTIVE,
220,טלבנק,ACTIVE,
221,טלבנק,ACTIVE,
222,טלבנק,ACTIVE,
232,המרכז לבנקאות פרטית בינלאומית,ACTIVE,
233,המרכז לבנקאות פרטית ירושלים,ACTIVE,
302,גבעת טל,ACTIVE,
303,מודיעין,ACTIVE,
320,קריית השרון,ACTIVE,
321,הלאום,ACTIVE,
330,"בי""ח וולפסון",ACTIVE,
340,המרכז לבנקאות פרטית השרון,ACTIVE,
348,מרכז מזומנים ירושלים,ACTIVE,
357,המרכז לבנקאות פרטית תל אביב,ACTIVE,
361,פרדס חנה,ACTIVE,
362,אם המושבות,ACTIVE,
381,מרכז עסקים ירושלים והדרום,ACTIVE,
382,מרכז עסקים השרון,ACTIVE,
383,מרכז עסקים צפון,ACTIVE,
384,מרכז עסקים השפלה,ACTIVE,
387,מרכז ייעוץ דיגיטלי,ACTIVE,
396,אסף הרופא,ACTIVE,
398,קרית אור,ACTIVE,
443,קרית ביאליק,ACTIVE,
444,המרכז לבנקאות פרטית-חיפה והצפון,ACTIVE,
452,מרכז עסקים מרכז,ACTIVE,
475,מרכז השקעות דן,ACTIVE,
476,מרכז השקעות ירושלים והדרום,ACTIVE,
477,מרכז השקעות שפלה,ACTIVE,
478,מרכז השקעות צפון,ACTIVE,
479,מרכז השקעות השרון,ACTIVE,
488,מרכז השקעות השפלה,INACTIVE,
495,מרכז השקעות בינלאומי,ACTIVE,
506,מערב ראשון לציון,ACTIVE,
510,מבשרת ציון,ACTIVE,
515,קדמת עתידים,INACTIVE,
517,לב העיר באר שבע,ACTIVE,
518,מחלקת בנקים ומוסדות זרים,ACTIVE,
520,"מחלקת שירותי מט""ח ותקשורת בין בנקאית",ACTIVE,
526,פולג נתניה,ACTIVE,
535,סניף טאצ'ר,ACTIVE,
993,שלוחת מרכז כלל,ACTIVE,
